id,name,lat,lon
502,eZ Cash Communication,6.702457,79.911976
503,eZ Cash Communication,6.645447,80.179017
504,eZ Cash Communication,6.646896,80.186934
505,eZ Cash Communication,6.405346,80.216653
506,eZ Cash Communication,6.465433,80.196102
507,eZ Cash Communication,6.794768,79.941244
508,eZ Cash Communication,6.708936,79.99197
509,eZ Cash Communication,6.703225,79.963034
510,eZ Cash Communication,6.81633,79.959784
511,eZ Cash Communication,6.797314,79.93102
512,eZ Cash Communication,6.805027,79.997463
513,eZ Cash Communication,7.202545,79.99668
514,eZ Cash Communication,7.076064,80.0139
515,eZ Cash Communication,6.733773,79.89555
516,eZ Cash Communication,6.796259,79.895711
517,eZ Cash Communication,6.857023,79.985104
518,eZ Cash Communication,7.288436,80.02863
519,eZ Cash Communication,6.819622,79.969343
520,eZ Cash Communication,6.848096,79.918005
521,eZ Cash Communication,6.893974,79.870981
522,eZ Cash Communication,7.242108,80.126789
523,eZ Cash Communication,6.96187,79.872065
524,eZ Cash Communication,6.901877,80.028888
525,eZ Cash Communication,6.935863,79.922351
526,eZ Cash Communication,6.925362,79.915624
527,eZ Cash Communication,6.935959,79.916418
528,eZ Cash Communication,6.851601,80.032579
529,eZ Cash Communication,6.598214,79.953196
530,eZ Cash Communication,6.873469,79.872966
531,eZ Cash Communication,6.828687,79.980726
532,eZ Cash Communication,6.924254,80.001712
533,eZ Cash Communication,6.878114,80.018749
534,eZ Cash Communication,6.915563,79.929056
535,eZ Cash Communication,6.925106,79.93073
536,eZ Cash Communication,6.941359,79.98755
537,eZ Cash Communication,6.885101,79.983644
538,eZ Cash Communication,6.916926,79.919271
539,eZ Cash Communication,7.127466,79.910345
540,eZ Cash Communication,6.799306,79.876678
541,eZ Cash Communication,6.908022,79.970684
542,eZ Cash Communication,6.971476,79.877086
543,eZ Cash Communication,6.866461,79.876463
544,eZ Cash Communication,6.751662,79.908221
545,eZ Cash Communication,6.879647,79.960041
546,eZ Cash Communication,6.798262,80.003815
547,eZ Cash Communication,6.82383,80.035057
548,eZ Cash Communication,7.39411,81.834669
549,eZ Cash Communication,7.389312,81.840699
550,eZ Cash Communication,7.381396,81.838231
551,eZ Cash Communication,7.37664,81.838059
552,eZ Cash Communication,7.382236,81.842544
553,eZ Cash Communication,8.556981,81.19066
554,eZ Cash Communication,8.496142,81.156263
555,eZ Cash Communication,8.69229,81.184244
556,eZ Cash Communication,8.937814,80.988765
557,eZ Cash Communication,8.572322,81.2151
558,eZ Cash Communication,8.403517,81.310415
559,eZ Cash Communication,8.456582,81.268616
560,eZ Cash Communication,8.422366,81.268015
561,eZ Cash Communication,7.7246,81.695538
562,eZ Cash Communication,8.404196,81.313076
563,eZ Cash Communication,8.587758,81.226763
564,eZ Cash Communication,8.576778,81.210015
565,eZ Cash Communication,8.500217,81.097641
566,eZ Cash Communication,8.816292,81.100345
567,eZ Cash Communication,8.53765,81.127338
568,eZ Cash Communication,9.470397,80.438976
569,eZ Cash Communication,9.782145,80.17024
570,eZ Cash Communication,9.814792,80.233841
571,eZ Cash Communication,9.8227,80.242596
572,eZ Cash Communication,8.647214,80.411339
573,eZ Cash Communication,9.795001,80.122347
574,eZ Cash Communication,9.724623,80.087929
575,eZ Cash Communication,9.77855,80.116017
576,eZ Cash Communication,9.787177,80.199637
577,eZ Cash Communication,9.784175,80.168438
578,eZ Cash Communication,9.659519,80.026195
579,eZ Cash Communication,9.66595,80.034156
580,eZ Cash Communication,9.688541,80.050979
581,eZ Cash Communication,9.704827,80.069904
582,eZ Cash Communication,9.670815,80.16346
583,eZ Cash Communication,9.681984,80.219936
584,eZ Cash Communication,9.6742,80.244999
585,eZ Cash Communication,9.648498,80.05173
586,eZ Cash Communication,9.69569,80.031023
587,eZ Cash Communication,9.681391,80.0245
588,eZ Cash Communication,9.714472,80.003815
589,eZ Cash Communication,9.721747,79.997292
590,eZ Cash Communication,9.753047,79.986305
591,eZ Cash Communication,9.671154,80.200195
592,eZ Cash Communication,9.754443,79.959698
593,eZ Cash Communication,9.740739,79.88687
594,eZ Cash Communication,9.749536,79.888072
595,eZ Cash Communication,9.773179,79.963474
596,eZ Cash Communication,9.795001,79.992743
597,eZ Cash Communication,9.776657,80.007205
598,eZ Cash Communication,9.777852,80.013106
599,eZ Cash Communication,9.77707,80.030165
600,eZ Cash Communication,9.745857,80.028491
601,eZ Cash Communication,9.745032,80.033426
602,eZ Cash Communication,9.729318,80.024071
603,eZ Cash Communication,9.705969,80.026034
604,eZ Cash Communication,9.525591,79.701004
605,eZ Cash Communication,9.586871,79.821682
606,eZ Cash Communication,9.644077,80.155907
607,eZ Cash Communication,9.672042,80.030422
608,eZ Cash Communication,7.019801,80.499058
609,eZ Cash Communication,7.977978,79.835587
610,eZ Cash Communication,8.036793,79.828033
611,eZ Cash Communication,7.754367,80.11488
612,eZ Cash Communication,7.902831,79.823914
613,eZ Cash Communication,8.233237,79.777222
614,eZ Cash Communication,6.926832,79.881012
615,eZ Cash Communication,7.906487,79.822798
616,eZ Cash Communication,7.887443,80.012527
617,eZ Cash Communication,8.022983,79.857903
618,eZ Cash Communication,8.031184,79.829535
619,eZ Cash Communication,8.04321,79.828849
620,eZ Cash Communication,7.875923,80.010338
621,eZ Cash Communication,7.721751,79.87597
622,eZ Cash Communication,7.716308,79.87096
623,eZ Cash Communication,8.302547,79.956093
624,eZ Cash Communication,7.653874,80.221224
625,eZ Cash Communication,7.761107,79.828806
626,eZ Cash Communication,7.981569,79.833827
627,eZ Cash Communication,7.994956,79.742246
628,eZ Cash Communication,7.797696,79.826081
629,eZ Cash Communication,7.666718,79.835629
630,eZ Cash Communication,8.237145,79.76572
631,eZ Cash Communication,8.226187,79.764165
632,eZ Cash Communication,8.22831,79.756966
633,eZ Cash Communication,7.770185,79.832196
634,eZ Cash Communication,7.885572,80.003085
